"cellID","usdyav","usdyav_pr","cellArea","parks","usdyav_est"
560,0,0,16237500,16237500,1.05119433215987
561,0,0,16237500,16237500,1.05119433215987
562,0,0,16237500,16237500,1.05119433215987
563,0,0,16237500,16237500,1.05119433215987
564,0,0,16237500,16237500,1.05119433215987
565,1.5,0.155,16237500,16237500,1.05119433215987
566,0.125,0.013,16237500,0,0.38248265498065
567,0,0,16237500,3272.29962234,0.382592581719537
568,0.125,0.013,16237500,810276.45175769,0.409970993583066
569,0,0,16237500,15385458.9215449,1.00916496826772
570,0,0,16237500,16237500,1.05119433215987
571,0.125,0.013,16237500,16237500,1.05119433215987
572,0,0,16237500,0,0.38248265498065
573,0,0,16237500,2742654.18813694,0.477752494748891
574,0,0,16237500,9919931.13332696,0.759301662192961
